# Mid-bin energy (keV),Fluence (cm⁻² keV⁻¹)
106.3,33669217.91
106.5,33169820.76
106.7,32671426.15
106.9,32175081.95
107.1,31678620.97
107.3,31183070.76
107.5,30687221.71
107.7,30189671.23
107.9,29693029.64
108.1,29198379.75
108.3,28703668.3
108.5,28209887.97
108.7,27715686.8
108.9,27219936.39
109.1,26725097.51
109.3,26232264.38
109.5,25739432.46
109.7,25247275.45
109.9,24754522.27
110.1,24260244.35
110.3,23766769.81
110.5,23275214.21
110.7,22783909.89
110.9,22293168.71
111.1,21801828.07
111.3,21309131.15
111.5,20817299.98
111.7,20327436.15
111.9,19838212.06
112.1,19349587.84
112.3,18860491.94
112.5,18370352.09
112.7,17881267.3
112.9,17394375.84
113.1,16908311.79
113.3,16422738.27
113.5,15936660.44
113.7,15449707.43
113.9,14963868.11
114.1,14480496.51
114.3,13997775.28
114.5,13515350.9
114.7,13032231.13
114.9,12548278.59
115.1,12065411.24
115.3,11585502.84
115.5,11106339.93
115.7,10627344.9
115.9,10147626.12
116.1,9667392.233
116.3,9188600.587
116.5,8715191.943
116.7,8242461.859
116.9,7767982.304
117.1,7291600.621
117.3,6814493.338
117.5,6339278.247
117.7,5878940.663
117.9,5419187.481
118.1,4948892.667
118.3,4471362.811
118.5,3991422.628
118.7,3515006.615
118.9,3059150.144
119.1,2580888.441
119.3,2060118.187
119.5,1503107.217
119.7,917199.3097
119.9,309741.2505
